ID,Address,AssessedValue
126,162 THAYER RD,451800
127,202 SILVER ST,364400
128,164 THAYER RD,224600
129,172 THAYER RD,294300
130,212 SILVER ST,319400
131, SILVER ST,1200
132,198 SILVER ST,380800
133,194 SILVER ST,454300
134,224 SILVER ST ,320900
135,222 SILVER ST ,74400
136,230 SILVER ST ,441900
137,242 SILVER ST,283300
138,6 LAKESHORE DR,303000
139,22 LAKESHORE DR,386600
140,38 LAKESHORE DR ,391300
141,44 LAKESHORE DR ,261400
142,LAKESHORE DR ,0
143, LAKESHORE DR,600
144, LAKESHORE DR,6200
145, LAKESHORE DR,6100
146,LAKESHORE DR ,0
147,32 PULPIT ROCK RD ,449500
148,48 LAKESHORE DR,226100
149,50 LAKESHORE DR ,0
150,54 LAKESHORE DR ,0
151,56 LAKESHORE DR ,0
152,58 LAKESHORE DR ,0
153,60 LAKESHORE DR,60600
154,64 LAKESHORE DR,386700
155,LAKESHORE DR ,6000
156,68 LAKESHORE DR,361500
157,76 LAKESHORE DR,372400
158,78 LAKESHORE DR ,236200
159,80 LAKESHORE DR,60100
160,82 LAKESHORE DR ,477500
161,6 PULPIT ROCK CIR,296200
162,LAKESHORE DR ,2700
163,86 LAKESHORE DR ,80600
164,88 LAKESHORE DR,423500
166,LAKESHORE DR ,600
167,THAYER RD ,75400
168,126 THAYER RD,293600
170,4 PULPIT ROCK RD,423100
171, BROOKSIDE RD,7100
172,BROOKSIDE RD ,5500
173,BROOKSIDE RD ,5700
174,5 BROOKSIDE RD,310300
175,BROOKSIDE RD ,6200
176,1 BROOKSIDE RD,355300
177,PULPIT ROCK CIR,9400
178,PULPIT ROCK CIR,6800
179,3 PULPIT ROCK CIR,351800
180,111 THAYER RD ,78400
181, LAKESHORE DR,7200
182,128 THAYER RD,359000
183, THAYER RD,300
184,145 THAYER RD ,535300
185,141 THAYER RD,316100
186,137 THAYER RD ,386700
187,125 THAYER RD ,406200
188,148 THAYER RD,309400
189,103 THAYER RD,319400
190,101 THAYER RD,544000
191,110 THAYER RD,379800
192,114 THAYER RD,320600
193,149 THAYER RD,422800
194,131 THAYER RD,374200
195,116 THAYER RD ,874300
196,5 PULPIT ROCK CIR,268600
197,LAKESHORE DR ,38000
198,117 THAYER RD,347600
199,113 THAYER RD ,343200
201,164V SILVER ST ,80000
202,160V SILVER ST ,78800
203,156 SILVER ST ,244200
204,152 SILVER ST ,533700
205,168 SILVER ST,376100
206,172 SILVER ST ,126200
207,176 SILVER ST,330600
208,180 SILVER ST,794900
209,184 SILVER ST ,109400
211,SILVER ST ,2600
212,190 SILVER ST,252200
213,64 THAYER RD ,340400
214,58 THAYER RD,464000
215,6 LEMON RD,331000
216,THAYER RD(OFF/LEMON ,87500
217,78 THAYER RD,369100
218,88 THAYER RD ,345400
219,92 THAYER RD ,370900
220,94 THAYER RD ,305400
221,98 THAYER RD ,196600
222,97 THAYER RD,725700
223,89 THAYER RD,428600
224,93 THAYER RD,276900
225,77 THAYER RD ,362600
226,81 THAYER RD ,305500
227,83 THAYER RD,395200
229,75 THAYER RD ,479100
230,73 THAYER RD ,380300
231,67 THAYER RD ,384400
232,65 THAYER RD,573300
233,20 THAYER RD ,382400
234,24 THAYER RD,373400
235,34 THAYER RD,336600
236,40 THAYER RD ,476800
237,26 THAYER RD,77000
238,42 THAYER RD,537300
239,44 THAYER RD,488600
240,50 THAYER RD ,267100
241,54 THAYER RD ,368000
242,THAYER RD ,1200
244,57 THAYER RD ,391100
245,53 THAYER RD,546000
247,59 THAYER RD,403600
249,47 THAYER RD ,458500
250,39 THAYER RD ,331300
252,35 THAYER RD,599200
253,37 THAYER RD ,467900
254,27 THAYER RD ,432200
255,25 THAYER RD ,639200
256,21 THAYER RD ,37800
257, THAYER RD (OFF),8300
258,242 WILBRAHAM RD ,499700
260,252 WILBRAHAM RD ,364400
261,246 WILBRAHAM RD ,622800
262,250 WILBRAHAM RD,519200
264,254 WILBRAHAM RD,6800
265,95 WAID RD ,181200
266,45 WAID RD,472700
267,31 WAID RD,339000
268,37 WAID RD ,299900
269,29 WAID RD,365000
270,79 WAID RD ,408500
271,67 WAID RD ,677800
272,73 WAID RD,508400
273,63 WAID RD,393900
274,89 WAID RD ,440600
275,85 WAID RD ,314800
280,47 WAID RD,81200
281,43 WAID RD,486500
282,41 WAID RD ,498600
283, WAID RD,167600
284,42 WAID RD,267200
285,38 WAID RD ,874900
286,34 WAID RD ,415900
287,28 WAID RD,401100
288,86 WAID RD,563900
289,82 WAID RD ,325300
290,78 WAID RD ,583500
291,76 WAID RD,543200
292,72 WAID RD,560300
293,68 WAID RD ,440100
294,56 WAID RD ,635300
296,46 WAID RD,402100
298,52 WAID RD ,515200
300,266 WILBRAHAM RD ,422700
301,98 WAID RD,527800
302,92 WAID RD,473000
303,280 WILBRAHAM RD,127100
304,282 WILBRAHAM RD ,360600
305,286 WILBRAHAM RD,202900
306,290 WILBRAHAM RD ,515300
307,WILBRAHAM RD ,5300
308,WILBRAHAM RD ,4700
309, WILBRAHAM RD,7600
310, WILBRAHAM RD (OFF),3800
312,287 WILBRAHAM RD ,402000
313,283 WILBRAHAM RD,293700
314,4 THAYER RD ,401400
315,12 THAYER RD ,426200
316,16 THAYER RD ,344500
317,19 THAYER RD,242000
318, THAYER RD,7200
319, THAYER RD,6900
320,1 THAYER RD,375400
321,267 WILBRAHAM RD,388300
322,257 WILBRAHAM RD ,327400
323, SILVER ST,28300
324,WILBRAHAM RD ,7900
325,261 WILBRAHAM RD ,705000
326,247 WILBRAHAM RD,493200
328,249 WILBRAHAM RD ,445100
329,243 WILBRAHAM RD ,541500
330,239 WILBRAHAM RD,40400
331,230 WILBRAHAM RD,77300
332,251 WILBRAHAM RD,710000
333,26 WAID RD,215500
334,24 WAID RD ,270800
336,139 UPPER HAMPDEN RD,365200
337,133 UPPER HAMPDEN RD ,320700
338,UPPER HAMPDEN RD ,46500
339,129 UPPER HAMPDEN RD ,349500
341,127 UPPER HAMPDEN RD ,593900
343,117 UPPER HAMPDEN RD,425300
345,111 UPPER HAMPDEN RD ,327800
346,6 WAID RD,371800
347,8 WAID RD,377300
348,132 UPPER HAMPDEN RD,460900
349,120 UPPER HAMPDEN RD,554800
350,126 UPPER HAMPDEN RD ,582800
351,114 UPPER HAMPDEN RD,408500
352,66 ZUELL RD ,520600
354,134 UPPER HAMPDEN RD,6200
355,136 UPPER HAMPDEN RD ,195300
356,185 UPPER HAMPDEN RD,673000
357,BENNETT RD ,200
358,183 UPPER HAMPDEN RD ,307400
359,143 UPPER HAMPDEN RD ,580300
360,151 UPPER HAMPDEN RD ,654900
362,142 UPPER HAMPDEN RD ,387700
363,152 UPPER HAMPDEN RD,502000
364, UPPER HAMPDEN RD,6900
366,160 UPPER HAMPDEN RD ,437600
367,186 UPPER HAMPDEN RD ,466700
368,19 BENNETT RD,498900
369,15 BENNETT RD,567800
370,178 UPPER HAMPDEN RD,465700
372,23 BENNETT RD ,481400
373,41 BENNETT RD ,342400
374,14 BENNETT RD,278700
375,10 BENNETT RD,133800
376,32 BENNETT RD,607900
377,BENNETT RD ,17500
378,34 BENNETT RD,3900
379, LOWER HAMPDEN RD,247800
380,BENNETT RD ,4400
382,LOWER HAMPDEN RD ,2000
383,LOWER HAMPDEN RD ,600
384,423 LOWER HAMPDEN RD,302000
385, LOWER HAMPDEN RD,3500
386,LOWER HAMPDEN RD ,85900
389,380 LOWER HAMPDEN RD ,398500
390,LOWER HAMPDEN RD ,41700
391,400 LOWER HAMPDEN RD,384200
392,433 LOWER HAMPDEN RD ,394000
393,437 LOWER HAMPDEN RD ,847500
394,431 LOWER HAMPDEN RD ,39900
396,415 LOWER HAMPDEN RD ,287500
397,419 LOWER HAMPDEN RD,715300
398,401 LOWER HAMPDEN RD,335800
399, LOWER HAMPDEN RD,900
400,12 ALDEN THRASHER RD ,510500
401,8 ALDEN THRASHER RD,37200
402, LOWER HAMPDEN RD,96800
403,19 ALDEN THRASHER RD ,417730
404,7 ALDEN THRASHER RD ,217600
406,404 LOWER HAMPDEN RD,318300
407,418 LOWER HAMPDEN RD,94500
408,420 LOWER HAMPDEN RD,394300
409,424 LOWER HAMPDEN RD ,415100
410,430 LOWER HAMPDEN RD ,304700
412,434 LOWER HAMPDEN RD,337300
413, LOWER HAMPDEN RD,12200
415,101 BRADWAY RD ,427600
417,75 BRADWAY RD ,912000
418,77 BRADWAY RD,592000
419,71 BRADWAY RD ,671900
420,69 BRADWAY RD ,58800
421,59 BRADWAY RD,518800
422,57 BRADWAY RD,82300
423, BRADWAY RD,81600
424,54 BRADWAY RD,100400
425,84 BRADWAY RD,749500
426,86 BRADWAY RD,84200
427, BRADWAY RD,1900
428,22 BRADWAY RD ,525500
429,26 BRADWAY RD ,431600
430,25 BRADWAY RD ,522600
431,27 BRADWAY RD,77800
432,33 BRADWAY RD,524000
433,28 BRADWAY RD,73300
434,34 BRADWAY RD,434800
435,17 BRADWAY RD ,75100
436,13 BRADWAY RD ,409700
437, BRADWAY RD,32600
438,46 BRADWAY RD ,490200
439,42 BRADWAY RD ,415500
440,52 BRADWAY RD,467500
441,37 BRADWAY RD ,441000
442,58 BRADWAY RD,469200
443,62 BRADWAY RD,503200
444,66 BRADWAY RD,500900
445,72 BRADWAY RD ,437100
446,70 BRADWAY RD,593100
448,HANCOCK RD - OFF ,19400
449,21 BRADWAY RD ,486800
450,BUTLER RD ,74200
451,BUTLER RD ,79500
452,227 BUTLER RD ,415500
453,HANCOCK RD ,12500
455,35 HANCOCK RD,403900
456,231 BUTLER RD,508700
458,12 HANCOCK RD ,836500
461,248 BUTLER RD ,468500
464,430 BOSTON RD WEST,133500
465,428 BOSTON RD WEST,269600
467,422 BOSTON RD WEST,10100
468,420 BOSTON RD WEST ,429400
469,418 BOSTON RD WEST,299900
470,403 BOSTON RD WEST,225100
471,416 BOSTON RD WEST ,258600
472,399 BOSTON RD WEST ,395400
475,388 BOSTON RD WEST ,491700
476,BOSTON RD WEST ,73700
477,371 BOSTON RD WEST ,394100
478,BOSTON RD WEST ,73600
479,378 BOSTON RD WEST ,312300
481,360 BOSTON RD WEST,116800
482,354 BOSTON RD WEST ,860000
484,320 BOSTON RD WEST ,496200
485,294 BOSTON RD WEST ,230200
486,114 MAXWELL RD ,575500
487,116 MAXWELL RD ,461500
489,120 MAXWELL RD ,593700
490,122 MAXWELL RD,399300
491,128 MAXWELL RD ,334900
492,127 MAXWELL RD,295800
493,68 MAXWELL RD,18900
494,70 MAXWELL RD ,322400
495,88 MAXWELL RD ,435200
496,MAXWELL RD ,79300
497,94 MAXWELL RD ,262000
498,100 MAXWELL RD,334300
499,106 MAXWELL RD,473700
500,110 MAXWELL RD,426400
501,121 MAXWELL RD ,308500
502,115 MAXWELL RD,297300
503,109 MAXWELL RD ,266300
504,103 MAXWELL RD ,304500
506,99 MAXWELL RD,256200
507,93 MAXWELL RD,488400
508,91 MAXWELL RD,272400
509,85 MAXWELL RD,422000
510,73 MAXWELL RD ,382800
511,71 MAXWELL RD ,487800
512,69 MAXWELL RD,529600
514,63V MAXWELL RD ,110500
515,57 MAXWELL RD ,213400
516,97 MAXWELL RD ,281000
517,195 REIMERS RD ,406000
518,SILVER ST ,9900
519,REIMERS RD ,84200
520,253 REIMERS RD ,416100
522,193 REIMERS RD,372400
523,SILVER ST ,11600
524,SILVER ST ,78800
525,112 SILVER ST,339100
526,118 SILVER ST ,264500
527,144 SILVER ST,708200
528,138 SILVER ST,527300
529,120 SILVER ST ,6200
530,145 SILVER ST ,131400
531,139 SILVER ST,389600
532,121 SILVER ST ,346300
534,57 NIESKE RD,389300
535,53 NIESKE RD,368300
536,107 SILVER ST ,200
537,105 SILVER ST ,8600
538,103 SILVER ST ,75300
539,33 NIESKE RD,487100
540,41 NIESKE RD ,503100
541,27 NIESKE RD ,570900
542,101 SILVER ST ,305500
543,93 SILVER ST,303700
544,79 SILVER ST,400600
545,71 SILVER ST,406900
546,56 SILVER ST,417800
547, SILVER ST,96100
548,72 SILVER ST ,385000
549,68 SILVER ST,383000
550,78 SILVER ST ,377400
552,76 SILVER ST,76700
553,84 SILVER ST ,129200
554,88 SILVER ST,240700
556,SILVER ST ,38600
557,43 SILVER ST ,430300
558,37 SILVER ST,452900
559,35 SILVER ST ,371400
560,25 SILVER ST,586000
561,15 SILVER ST,485100
562,7 SILVER ST,387000
563,219 WILBRAHAM RD ,136900
564,209 WILBRAHAM RD,381100
565,201 WILBRAHAM RD ,249000
566,187 WILBRAHAM RD,297100
567,181 WILBRAHAM RD,281800
568,177 WILBRAHAM RD,220800
570,4 SAND HILL RD,358400
571,WILBRAHAM RD ,78400
572,WILBRAHAM RD ,76400
573,12 UPPER HAMPDEN RD ,231100
574,24 UPPER HAMPDEN RD ,413900
575,20 UPPER HAMPDEN RD,480700
576,6 UPPER HAMPDEN RD,326800
577,4 UPPER HAMPDEN RD,396000
578,16 UPPER HAMPDEN RD,494900
579,8 UPPER HAMPDEN RD ,451800
580,11 UPPER HAMPDEN RD ,246300
581,49 UPPER HAMPDEN RD ,391200
582,UPPER HAMPDEN RD ,31700
583,196 WILBRAHAM RD,366700
584,198 WILBRAHAM RD ,417000
585,200 WILBRAHAM RD ,349300
586,204 WILBRAHAM RD,342700
587,206 WILBRAHAM RD ,286600
588,210 WILBRAHAM RD ,295100
589,214 WILBRAHAM RD,456700
590,WILBRAHAM RD ,73300
591,218 WILBRAHAM RD ,510000
592,222 WILBRAHAM RD ,248300
594,227 WILBRAHAM RD,333700
595,223 WILBRAHAM RD,299700
597,3 WILSON AVE,340700
598,221 WILBRAHAM RD ,282300
599,62 SILVER ST,590500
600,60 SILVER ST,430100
602,2 SILVER ST,280900
603,4 SILVER ST ,270000
604,6 SILVER ST,374900
605,10 SILVER ST,310500
606,12 SILVER ST,327000
607,14 SILVER ST ,417600
608,18 SILVER ST ,393700
609,20 SILVER ST ,534400
610,24 SILVER ST,273600
611,28 SILVER ST ,350800
612,34 SILVER ST,469100
613,40 SILVER ST,371700
614,48 SILVER ST ,506400
615,52 SILVER ST,401100
616, UPPER HAMPDEN RD,148700
617,4 WOOD HILL RD,250000
618, WOOD HILL RD,73500
620,14 WOOD HILL RD ,191400
621,16 PINNACLE RD,397600
625,20 PINNACLE RD,332700
626,21 PINNACLE RD,279200
627,17 PINNACLE RD ,283500
628,13 PINNACLE RD,321200
629,18 PINNACLE RD,296200
630,11 PINNACLE RD,267400
631, WOOD HILL RD,4200
632,5 PINNACLE RD ,369900
633,3 PINNACLE RD ,553000
635,32 WOOD HILL RD,193100
637,15 WOOD HILL RD ,916000
638,57 UPPER HAMPDEN RD,536000
639,43 UPPER HAMPDEN RD ,324100
642,T PECK RD ,78600
643,31 T PECK RD ,841400
644, T PECK RD,75500
645, WOOD HILL RD,76000
646,52 WOOD HILL RD ,405900
647,54 WOOD HILL RD,363700
648,58 WOOD HILL RD,258500
649,64 WOOD HILL RD ,572000
650,67 WOOD HILL RD,268300
651,59 WOOD HILL RD,419500
652,63 WOOD HILL RD,289100
653,70 WOOD HILL RD,346700
654,68 WOOD HILL RD,286500
655,55 WOOD HILL RD ,388600
656,53 WOOD HILL RD ,409700
657,49 WOOD HILL RD ,345300
658,43 WOOD HILL RD,428200
660,21V WAID RD ,1200
661,27 WOOD HILL RD,320600
662,27 ZUELL RD,417600
663,37 ZUELL RD,401900
664,35 ZUELL RD ,444100
665,43 ZUELL RD ,508000
666,37 WOOD HILL RD,527600
667,47 ZUELL RD ,564500
668,31 WOOD HILL RD ,454800
669,73 UPPER HAMPDEN RD ,28500
670,51 ZUELL RD,340100
671,63 UPPER HAMPDEN RD,356800
672,67 UPPER HAMPDEN RD,391000
673,1 WAID RD,401200
674,31 ZUELL RD,439600
675,95 UPPER HAMPDEN RD ,556300
677,WOOD HILL RD ,12700
680,86 UPPER HAMPDEN RD,430400
681, ZUELL RD,80100
682,15 WAID RD ,498800
683,92 UPPER HAMPDEN RD,4000
684,27 WAID RD,366900
686,68 UPPER HAMPDEN RD,84000
687,70 UPPER HAMPDEN RD ,447000
688,80 UPPER HAMPDEN RD ,352600
689,90 UPPER HAMPDEN RD,431900
690,57 ZUELL RD,242700
691,56 ZUELL RD ,297200
692,105 UPPER HAMPDEN RD,279500
693,72 WOOD HILL RD,320500
694,76 WOOD HILL RD,522600
695,159 COTE RD ,764600
696,146 COTE RD,360300
697, COTE RD,11300
699,158 COTE RD ,318000
700,92 WOOD HILL RD,276700
701, WOOD HILL RD,79800
702, WOOD HILL RD,76900
703, WOOD HILL RD,77000
704,WOOD HILL RD ,1500
705,107 WOOD HILL RD ,401300
706,103 WOOD HILL RD,336900
707,99 WOOD HILL RD,336400
708,95 WOOD HILL RD,301400
709,2 ZUELL RD ,423400
710,4 ZUELL RD ,350700
711, WOOD HILL RD,1700
712,10 ZUELL RD,502200
713,14 ZUELL RD ,692100
714,18 ZUELL RD ,502700
715,20 ZUELL RD,536900
716,22 ZUELL RD ,463100
717,UPPER HAMPDEN RD ,600
718,26 ZUELL RD ,395100
719,32 ZUELL RD,417600
720,38 ZUELL RD,434800
721,42 ZUELL RD,369500
722,48 ZUELL RD,467000
723,19 ZUELL RD ,379900
724,5 ZUELL RD ,897800
725,71 WOOD HILL RD ,507100
726,73 WOOD HILL RD,441500
727,161 WOOD HILL RD ,469800
728,WOOD HILL RD ,3500
729,WOOD HILL RD ,3500
730,WOOD HILL RD ,1300
731,118 WOOD HILL RD,536600
732, WOOD HILL RD,62400
733,130 WOOD HILL RD ,414400
734,128 WOOD HILL RD,449500
735,124 WOOD HILL RD ,443300
736,144 WOOD HILL RD ,633500
737,152 WOOD HILL RD ,272600
738,WOOD HILL RD ,12300
739,170 WOOD HILL RD,289500
740,166 WOOD HILL RD,444900
741,164 WOOD HILL RD,406200
742,178 WOOD HILL RD,298000
743,174 WOOD HILL RD ,330300
745,WOOD HILL RD ,117100
747,215 WOOD HILL RD ,339500
749,225 WOOD HILL RD,283400
750,WOOD HILL RD ,55900
751,WOOD HILL RD ,114300
752,165 WOOD HILL RD,327300
753,240 WOOD HILL RD,301000
754,246 WOOD HILL RD,427900
755,250 WOOD HILL RD,304800
757,319 LOWER HAMPDEN RD ,343000
758,255 WOOD HILL RD,261700
759,329 LOWER HAMPDEN RD,292300
760,251 WOOD HILL RD,260700
761,245 WOOD HILL RD ,459900
762,331 LOWER HAMPDEN RD,398700
763,243 WOOD HILL RD ,424100
764,233 WOOD HILL RD,471200
765,261 WOOD HILL RD,502300
766, LOWER HAMPDEN RD,73300
767,317 LOWER HAMPDEN RD ,445000
776, LOWER HAMPDEN RD,76100
777,309 LOWER HAMPDEN RD,501100
779,2 BUTLER RD ,429500
780,12 BUTLER RD,286000
781,BUTLER RD ,135000
782,340 LOWER HAMPDEN RD,386000
783,344 LOWER HAMPDEN RD ,402400
784,336 LOWER HAMPDEN RD ,373800
785,332 LOWER HAMPDEN RD ,400800
786,BUTLER RD ,18600
787,348 LOWER HAMPDEN RD ,408600
788, LOWER HAMPDEN RD,111300
789,361 LOWER HAMPDEN RD ,498000
790,359 LOWER HAMPDEN RD,405900
791,351 LOWER HAMPDEN RD ,655100
792,345 LOWER HAMPDEN RD ,552500
794,333 LOWER HAMPDEN RD ,413500
795,253 WOOD HILL RD ,383100
796,30 BUTLER RD,388200
797,18 BUTLER RD,339900
798,26 BUTLER RD ,634000
799,22 BUTLER RD,632900
800,24 BUTLER RD,428500
801,20 BUTLER RD ,494100
802,BUTLER RD ,77400
803,52 BUTLER RD ,240400
804,66 BUTLER RD ,331700
806,43 BUTLER RD,159800
808,53 BUTLER RD ,726400
810,51 BUTLER RD,355000
811,47 BUTLER RD ,75800
812,BUTLER RD ,10000
813,35 BUTLER RD ,12000
814,33 BUTLER RD,667300
816,27 BUTLER RD ,429200
817,74 BUTLER RD ,293300
818,78 BUTLER RD ,281100
819,86 BUTLER RD,357900
820, BUTLER RD,5400
821, BUTLER RD,287800
822, BUTLER RD,48400
823,109 BUTLER RD ,303000
824,119 BUTLER RD ,543800
826,65 BUTLER RD ,447700
827,BUTLER RD ,75500
828,124 BUTLER RD ,408400
831,138 BUTLER RD ,154800
832, BUTLER RD,5400
833,154 BUTLER RD ,410600
835, BUTLER RD,3800
836,159 BUTLER RD,408300
837,155 BUTLER RD,546000
838,BUTLER RD ,69800
839,143 BUTLER RD,335500
840, BUTLER RD,1300
841,159 BUTLER RD,282100
842,159 BUTLER RD ,213200
843,159 BUTLER RD,147300
844, BUTLER RD,22300
845,174 BUTLER RD ,377200
846,182 BUTLER RD ,492400
847,188 BUTLER RD,557200
848,178 BUTLER RD ,169100
849, BUTLER RD,28000
850,BUTLER RD ,92900
851, BUTLER RD,78700
853,203 BUTLER RD ,397000
854,211 BUTLER RD ,534000
855,193 BUTLER RD,429500
856,185 BUTLER RD,502200
857,181 BUTLER RD,401700
858,173 BUTLER RD,355300
859, BUTLER RD,6400
860, BUTLER RD,87600
861,169 BUTLER RD,194100
862,BUTLER RD ,78700
863,200 BUTLER RD,454400
864,206 BUTLER RD,428100
865,230 BUTLER RD ,439100
866,BUTLER RD ,5600
867,BUTLER RD ,81400
868,BUTLER RD ,111600
871,BUTLER RD ,15500
872,BUTLER RD ,1700
873, HANCOCK RD,5800
874, BRADWAY RD,76700
877,156 BOSTON RD WEST ,365800
878,BOSTON RD WEST ,74100
879,HOVEY RD ,72700
880,HOVEY RD ,15500
881, HOVEY RD,153600
882,HOVEY RD ,59400
883,281 HOVEY RD,282600
884,279 HOVEY RD,306700
885,275 HOVEY RD,411500
886,271 HOVEY RD ,261100
887,266 HOVEY RD,466900
888,288 HOVEY RD ,297900
889,292 HOVEY RD ,344800
890,286 HOVEY RD,474600
891,278 HOVEY RD,569100
892, HOVEY RD,76100
893,BOSTON RD WEST,100
894,BOSTON RD WEST ,100
896,250 BOSTON RD WEST ,674900
897,280 BOSTON RD WEST ,773200
898,BOSTON RD WEST ,400
899,290 BOSTON RD WEST ,288500
900,BOSTON RD WEST ,49300
901,256 HOVEY RD ,612900
902,248 HOVEY RD ,496500
903,246 HOVEY RD,252900
904,154 MAXWELL RD ,478900
905,148 MAXWELL RD,237900
906,144 MAXWELL RD,482400
907,130 MAXWELL RD,388200
908,135 MAXWELL RD,413100
909,137 MAXWELL RD,425200
910,141 MAXWELL RD,266600
911,157 MAXWELL RD ,335600
913,159 MAXWELL RD ,295300
914,HOVEY RD ,1000
915,229 HOVEY RD ,305600
917,245 HOVEY RD ,170900
918,247 HOVEY RD ,271500
919,247 1/2 HOVEY RD,101100
920,249 HOVEY RD,135800
921,253 HOVEY RD ,317400
922,257 HOVEY RD ,259600
923,262 HOVEY RD,465100
924,HOVEY RD ,77400
925,264 HOVEY RD ,447800
926,261 HOVEY RD ,512600
927,265 HOVEY RD,375000
928, HOVEY RD,119800
929,269 HOVEY RD ,300300
931,224 HOVEY RD ,196300
934,221 HOVEY RD ,103700
936,220 HOVEY RD,299200
937,239 HOVEY RD,583500
938,237 HOVEY RD ,551500
939, HOVEY RD,173500
940,174 HOVEY RD ,865900
941,180 HOVEY RD ,735200
942,176 HOVEY RD ,624200
943,184 HOVEY RD,578200
945,171 HOVEY RD,966800
946,175V HOVEY RD ,73300
947,179 HOVEY RD ,632800
948,183V HOVEY RD ,93100
949,187V HOVEY RD ,73700
950,189 HOVEY RD,509800
951,201 HOVEY RD ,340700
952,200 HOVEY RD ,129600
953,HOVEY RD ,105300
954,HOVEY RD ,86200
955,160 HOVEY RD ,674300
956,152 HOVEY RD ,598200
957,164 HOVEY RD,893900
958,170 HOVEY RD ,665800
959,156 HOVEY RD ,647200
960,148 HOVEY RD,687200
961,161 HOVEY RD ,275100
962,HOVEY RD ,91300
963,139 HOVEY RD ,722100
964,127 HOVEY RD ,391500
965,191 REIMERS RD ,437200
966,177 REIMERS RD,457700
968,175V REIMERS RD ,13500
969,171V REIMERS RD ,5300
971,157R REIMERS RD ,76600
972,127 REIMERS RD,359900
973,117 REIMERS RD ,618200
974,REIMERS RD ,5000
976,165 REIMERS RD ,358700
977,153R REIMERS RD ,49200
978,161R REIMERS RD ,32100
979,84 REIMERS RD ,317500
980,94 REIMERS RD ,532600
981,100 REIMERS RD,397500
982,112 REIMERS RD ,560900
983,108 REIMERS RD,394600
984,105V REIMERS RD ,1600
985,83 REIMERS RD ,421700
986,14 NIESKE RD ,149400
987,40 NIESKE RD ,501700
988, NIESKE RD,78500
989,26 NIESKE RD,434700
990,34 NIESKE RD ,376700
